wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776723038.165,room_06,1776723038.16,1776723038.163,1776723038.165,5.203,3.34,1.868,room_alerts_mp
1776723039.164,room_07,1776723039.161,1776723039.163,1776723039.164,3.157,1.77,1.386,room_alerts_mp
1776723040.168,room_08,1776723040.162,1776723040.166,1776723040.168,6.097,4.18,1.92,room_alerts_mp
1776723041.168,room_09,1776723041.164,1776723041.166,1776723041.168,3.844,1.54,2.301,room_alerts_mp
1776723042.628,room_10,1776723042.17,1776723042.174,1776723042.628,458.217,4.42,453.799,room_alerts_mp
1776723043.177,room_11,1776723043.172,1776723043.175,1776723043.177,5.047,3.05,2.001,room_alerts_mp
1776723044.18,room_12,1776723044.174,1776723044.178,1776723044.18,6.052,3.8,2.253,room_alerts_mp
1776723045.182,room_13,1776723045.175,1776723045.18,1776723045.182,6.832,5.24,1.589,room_alerts_mp
1776723046.181,room_14,1776723046.177,1776723046.179,1776723046.181,3.971,1.79,2.182,room_alerts_mp
1776723047.186,room_15,1776723047.18,1776723047.184,1776723047.186,5.343,3.31,2.035,room_alerts_mp
1776723048.186,room_01,1776723048.183,1776723048.185,1776723048.186,2.963,1.68,1.287,room_alerts_mp
1776723049.189,room_02,1776723049.186,1776723049.187,1776723049.189,3.438,1.57,1.864,room_alerts_mp
1776723050.194,room_03,1776723050.188,1776723050.191,1776723050.194,6.503,3.43,3.075,room_alerts_mp
1776723051.195,room_04,1776723051.19,1776723051.193,1776723051.195,5.47,3.39,2.082,room_alerts_mp
1776723052.197,room_05,1776723052.192,1776723052.196,1776723052.197,5.646,4.0,1.647,room_alerts_mp
1776723053.201,room_06,1776723053.195,1776723053.198,1776723053.201,5.388,2.69,2.694,room_alerts_mp
1776723054.205,room_07,1776723054.201,1776723054.203,1776723054.205,3.489,1.64,1.852,room_alerts_mp
1776723055.209,room_08,1776723055.206,1776723055.208,1776723055.209,3.127,1.72,1.41,room_alerts_mp
1776723056.211,room_09,1776723056.209,1776723056.21,1776723056.211,2.824,1.46,1.369,room_alerts_mp
1776723057.222,room_10,1776723057.214,1776723057.219,1776723057.222,8.363,5.63,2.733,room_alerts_mp
