wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776759757.247,room_09,1776759757.244,1776759757.245,1776759757.247,3.512,1.48,2.033,room_alerts_mp
1776759758.248,room_10,1776759758.245,1776759758.246,1776759758.248,3.29,1.43,1.858,room_alerts_mp
1776759759.254,room_11,1776759759.246,1776759759.252,1776759759.254,7.928,5.76,2.168,room_alerts_mp
1776759760.255,room_12,1776759760.249,1776759760.253,1776759760.255,5.538,3.72,1.817,room_alerts_mp
1776759761.254,room_13,1776759761.251,1776759761.252,1776759761.254,3.358,1.81,1.552,room_alerts_mp
1776759762.256,room_14,1776759762.252,1776759762.254,1776759762.256,3.388,1.4,1.991,room_alerts_mp
1776759763.257,room_15,1776759763.254,1776759763.255,1776759763.257,3.296,1.63,1.666,room_alerts_mp
1776759764.289,room_01,1776759764.256,1776759764.288,1776759764.289,33.332,32.01,1.326,room_alerts_mp
1776759765.262,room_02,1776759765.257,1776759765.26,1776759765.262,5.314,3.25,2.063,room_alerts_mp
1776759766.264,room_03,1776759766.258,1776759766.262,1776759766.264,6.309,4.41,1.897,room_alerts_mp
1776759767.268,room_04,1776759767.261,1776759767.266,1776759767.268,7.72,5.2,2.524,room_alerts_mp
1776759768.269,room_05,1776759768.262,1776759768.267,1776759768.269,7.27,5.04,2.228,room_alerts_mp
1776759769.272,room_06,1776759769.264,1776759769.27,1776759769.272,7.302,5.45,1.855,room_alerts_mp
1776759770.274,room_07,1776759770.267,1776759770.272,1776759770.274,6.428,4.6,1.83,room_alerts_mp
1776759771.279,room_08,1776759771.273,1776759771.277,1776759771.279,6.093,4.61,1.482,room_alerts_mp
1776759772.276,room_09,1776759772.273,1776759772.275,1776759772.276,2.921,1.48,1.438,room_alerts_mp
1776759773.284,room_10,1776759773.277,1776759773.281,1776759773.284,6.675,4.25,2.422,room_alerts_mp
1776759774.284,room_11,1776759774.28,1776759774.283,1776759774.284,4.341,2.95,1.388,room_alerts_mp
1776759775.289,room_12,1776759775.284,1776759775.288,1776759775.289,5.05,3.4,1.646,room_alerts_mp
1776759776.289,room_13,1776759776.286,1776759776.287,1776759776.289,3.211,1.51,1.703,room_alerts_mp
1776759777.291,room_14,1776759777.287,1776759777.289,1776759777.291,3.952,1.7,2.255,room_alerts_mp
1776759778.294,room_15,1776759778.287,1776759778.289,1776759778.294,6.503,1.72,4.786,room_alerts_mp
1776759779.297,room_01,1776759779.289,1776759779.294,1776759779.297,8.089,5.55,2.537,room_alerts_mp
1776759780.295,room_02,1776759780.292,1776759780.293,1776759780.295,3.152,1.63,1.519,room_alerts_mp
1776759781.303,room_03,1776759781.293,1776759781.301,1776759781.303,10.043,7.27,2.769,room_alerts_mp
1776759782.302,room_04,1776759782.295,1776759782.299,1776759782.302,7.203,4.0,3.207,room_alerts_mp
1776759783.31,room_05,1776759783.305,1776759783.308,1776759783.31,5.242,3.1,2.139,room_alerts_mp
1776759784.316,room_06,1776759784.308,1776759784.313,1776759784.316,8.663,5.8,2.862,room_alerts_mp
1776759785.321,room_07,1776759785.311,1776759785.319,1776759785.321,9.577,7.11,2.47,room_alerts_mp
1776759786.32,room_08,1776759786.316,1776759786.319,1776759786.32,3.464,2.09,1.373,room_alerts_mp
1776759787.524,room_09,1776759787.323,1776759787.522,1776759787.524,200.73,198.79,1.937,room_alerts_mp
1776759788.335,room_10,1776759788.329,1776759788.333,1776759788.335,6.169,3.74,2.424,room_alerts_mp
1776759789.34,room_11,1776759789.333,1776759789.338,1776759789.34,6.728,4.26,2.47,room_alerts_mp
1776759790.343,room_12,1776759790.336,1776759790.341,1776759790.343,6.915,5.11,1.803,room_alerts_mp
1776759791.354,room_13,1776759791.338,1776759791.345,1776759791.354,16.06,7.29,8.77,room_alerts_mp
1776759792.86,room_14,1776759792.344,1776759792.35,1776759792.86,515.799,5.19,510.606,room_alerts_mp
1776759793.365,room_15,1776759793.346,1776759793.352,1776759793.365,19.024,5.77,13.256,room_alerts_mp
1776759794.365,room_01,1776759794.353,1776759794.362,1776759794.365,11.53,8.82,2.713,room_alerts_mp
1776759795.364,room_02,1776759795.358,1776759795.362,1776759795.364,6.589,4.63,1.956,room_alerts_mp
1776759796.365,room_03,1776759796.358,1776759796.363,1776759796.365,6.826,4.74,2.09,room_alerts_mp
1776759797.368,room_04,1776759797.361,1776759797.365,1776759797.368,6.055,3.27,2.789,room_alerts_mp
1776759798.369,room_05,1776759798.365,1776759798.367,1776759798.369,3.565,1.8,1.767,room_alerts_mp
1776759799.388,room_06,1776759799.369,1776759799.377,1776759799.388,19.104,7.82,11.285,room_alerts_mp
1776759800.374,room_07,1776759800.371,1776759800.373,1776759800.374,3.2,1.79,1.408,room_alerts_mp
1776759801.378,room_08,1776759801.373,1776759801.376,1776759801.378,5.112,2.81,2.301,room_alerts_mp
1776759802.378,room_09,1776759802.375,1776759802.376,1776759802.378,3.503,1.66,1.841,room_alerts_mp
1776759803.379,room_10,1776759803.376,1776759803.377,1776759803.379,3.451,1.6,1.848,room_alerts_mp
1776759804.385,room_11,1776759804.377,1776759804.382,1776759804.385,8.983,5.62,3.365,room_alerts_mp
1776759805.384,room_12,1776759805.378,1776759805.381,1776759805.384,5.761,2.96,2.805,room_alerts_mp
1776759806.388,room_13,1776759806.381,1776759806.385,1776759806.388,6.67,4.09,2.576,room_alerts_mp
1776759807.392,room_14,1776759807.383,1776759807.388,1776759807.392,8.167,4.87,3.294,room_alerts_mp
1776759808.389,room_15,1776759808.384,1776759808.386,1776759808.389,4.215,1.91,2.308,room_alerts_mp
1776759809.393,room_01,1776759809.387,1776759809.391,1776759809.393,6.624,4.5,2.12,room_alerts_mp
1776759810.396,room_02,1776759810.388,1776759810.392,1776759810.396,7.53,4.07,3.458,room_alerts_mp
1776759811.396,room_03,1776759811.391,1776759811.394,1776759811.396,4.431,2.76,1.672,room_alerts_mp
1776759812.402,room_04,1776759812.395,1776759812.4,1776759812.402,6.65,4.88,1.767,room_alerts_mp
1776759813.401,room_05,1776759813.397,1776759813.399,1776759813.401,3.631,1.92,1.714,room_alerts_mp
1776759814.404,room_06,1776759814.4,1776759814.401,1776759814.404,4.058,1.66,2.396,room_alerts_mp
1776759815.411,room_07,1776759815.403,1776759815.408,1776759815.411,7.878,5.16,2.72,room_alerts_mp
1776759816.412,room_08,1776759816.404,1776759816.409,1776759816.412,7.905,5.07,2.838,room_alerts_mp
1776759817.409,room_09,1776759817.404,1776759817.407,1776759817.409,4.831,3.0,1.829,room_alerts_mp
1776759818.407,room_10,1776759818.405,1776759818.406,1776759818.407,2.663,1.39,1.268,room_alerts_mp
1776759819.412,room_11,1776759819.406,1776759819.41,1776759819.412,6.132,3.91,2.221,room_alerts_mp
1776759820.411,room_12,1776759820.407,1776759820.409,1776759820.411,4.063,1.98,2.088,room_alerts_mp
1776759821.41,room_13,1776759821.407,1776759821.409,1776759821.41,3.022,1.44,1.583,room_alerts_mp
1776759822.614,room_14,1776759822.409,1776759822.413,1776759822.614,205.644,4.0,201.641,room_alerts_mp
1776759823.421,room_15,1776759823.412,1776759823.416,1776759823.421,9.656,4.2,5.455,room_alerts_mp
1776759824.419,room_01,1776759824.414,1776759824.417,1776759824.419,5.136,3.19,1.942,room_alerts_mp
1776759825.417,room_02,1776759825.414,1776759825.416,1776759825.417,2.567,1.26,1.307,room_alerts_mp
1776759826.422,room_03,1776759826.416,1776759826.42,1776759826.422,6.439,4.35,2.09,room_alerts_mp
1776759827.425,room_04,1776759827.417,1776759827.422,1776759827.425,7.793,5.55,2.241,room_alerts_mp
1776759828.429,room_05,1776759828.419,1776759828.427,1776759828.429,10.05,8.27,1.782,room_alerts_mp
1776759829.426,room_06,1776759829.42,1776759829.424,1776759829.426,6.267,4.36,1.911,room_alerts_mp
1776759830.427,room_07,1776759830.422,1776759830.425,1776759830.427,4.956,3.39,1.563,room_alerts_mp
1776759831.429,room_08,1776759831.425,1776759831.427,1776759831.429,4.144,2.16,1.986,room_alerts_mp
1776759832.435,room_09,1776759832.425,1776759832.43,1776759832.435,9.494,4.48,5.018,room_alerts_mp
1776759833.434,room_10,1776759833.428,1776759833.432,1776759833.434,6.411,4.26,2.151,room_alerts_mp
1776759834.436,room_11,1776759834.429,1776759834.434,1776759834.436,7.499,5.37,2.132,room_alerts_mp
1776759835.437,room_12,1776759835.432,1776759835.435,1776759835.437,5.271,3.57,1.698,room_alerts_mp
1776759836.439,room_13,1776759836.433,1776759836.437,1776759836.439,5.924,4.09,1.829,room_alerts_mp
1776759837.439,room_14,1776759837.435,1776759837.436,1776759837.439,3.878,1.5,2.382,room_alerts_mp
1776759838.44,room_15,1776759838.437,1776759838.439,1776759838.44,2.674,1.56,1.113,room_alerts_mp
1776759839.443,room_01,1776759839.44,1776759839.441,1776759839.443,3.172,1.37,1.807,room_alerts_mp
1776759840.45,room_02,1776759840.441,1776759840.449,1776759840.45,9.209,7.77,1.437,room_alerts_mp
1776759841.456,room_03,1776759841.443,1776759841.454,1776759841.456,12.593,11.21,1.38,room_alerts_mp
1776759842.45,room_04,1776759842.445,1776759842.447,1776759842.45,4.596,1.78,2.812,room_alerts_mp
1776759843.451,room_05,1776759843.447,1776759843.45,1776759843.451,3.325,2.21,1.115,room_alerts_mp
1776759844.452,room_06,1776759844.449,1776759844.45,1776759844.452,3.14,1.48,1.66,room_alerts_mp
1776759845.455,room_07,1776759845.451,1776759845.454,1776759845.455,4.403,2.6,1.808,room_alerts_mp
1776759846.456,room_08,1776759846.453,1776759846.454,1776759846.456,3.24,1.48,1.761,room_alerts_mp
1776759847.464,room_09,1776759847.456,1776759847.46,1776759847.464,8.582,4.96,3.626,room_alerts_mp
1776759848.46,room_10,1776759848.457,1776759848.458,1776759848.46,3.0,1.73,1.268,room_alerts_mp
1776759849.461,room_11,1776759849.458,1776759849.459,1776759849.461,3.19,1.48,1.711,room_alerts_mp
1776759850.467,room_12,1776759850.461,1776759850.465,1776759850.467,6.117,3.8,2.317,room_alerts_mp
1776759851.466,room_13,1776759851.463,1776759851.464,1776759851.466,3.091,1.35,1.736,room_alerts_mp
1776759852.47,room_14,1776759852.464,1776759852.469,1776759852.47,6.513,4.8,1.71,room_alerts_mp
1776759853.473,room_15,1776759853.465,1776759853.47,1776759853.473,7.936,5.7,2.236,room_alerts_mp
1776759854.47,room_01,1776759854.466,1776759854.467,1776759854.47,3.865,1.69,2.177,room_alerts_mp
1776759855.473,room_02,1776759855.467,1776759855.471,1776759855.473,6.039,4.76,1.276,room_alerts_mp
1776759856.476,room_03,1776759856.469,1776759856.474,1776759856.476,7.185,4.91,2.277,room_alerts_mp
1776759857.475,room_04,1776759857.47,1776759857.474,1776759857.475,5.11,3.67,1.438,room_alerts_mp
1776759858.48,room_05,1776759858.471,1776759858.478,1776759858.48,8.142,6.25,1.895,room_alerts_mp
1776759859.478,room_06,1776759859.473,1776759859.475,1776759859.478,4.426,1.83,2.598,room_alerts_mp
1776759860.48,room_07,1776759860.474,1776759860.479,1776759860.48,6.644,5.19,1.458,room_alerts_mp
